threshold,cluster,doy,cum_pct
0.7,Group 1,188,94.59985651801493
0.7,Group 1,191,96.3475556779291
0.7,Group 1,194,98.12372997627881
0.7,Group 1,197,99.07921981050009
0.7,Group 1,200,99.8965590124684
0.7,Group 1,203,100.0
0.7,Group 2,149,
0.7,Group 2,152,0.7088099453964757
0.7,Group 2,155,1.7098551052839355
0.7,Group 2,158,5.867185074110572
0.7,Group 2,161,14.03508058776282
0.7,Group 2,164,22.867082851914358
0.7,Group 2,167,33.092232053749285
0.7,Group 2,170,41.83059604817306
0.7,Group 2,173,53.86089539375386
0.7,Group 2,176,67.20028312610744
0.7,Group 2,179,77.64769169454827
